,Image,Full SIDC,Hierarchy Code,Name,Geometry,Annex
193,,SFGPUCFRMR-----,1.X.3.1.1.7.2.2.2 ,MULTI ROCKET TRUCK,POINT,D
194,,SFGPUCFRMT-----,1.X.3.1.1.7.2.2.3 ,MULTI ROCKET TOWED,POINT,D
195,,SFGPUCFT-------,1.X.3.1.1.7.3 ,TARGET ACQUISITION,POINT,D
196,,SFGPUCFTR------,1.X.3.1.1.7.3.1 ,RADAR,POINT,D
197,,SFGPUCFTS------,1.X.3.1.1.7.3.2 ,SOUND,POINT,D
198,,SFGPUCFTF------,1.X.3.1.1.7.3.3 ,FLASH (OPTICAL),POINT,D
199,,SFGPUCFTC------,1.X.3.1.1.7.3.4 ,TARGET ACQUISITION MOUNTED,POINT,D
200,,SFGPUCFTCD-----,1.X.3.1.1.7.3.4.1 ,TARGET ACQUISITION DISMOUNTED,POINT,D
201,,SFGPUCFTCM-----,1.X.3.1.1.7.3.4.2 ,TARGET ACQUISITION TRACKED,POINT,D
202,,SFGPUCFTA------,1.X.3.1.1.7.3.5 ,TARGET ACQUISITION NAVAL GUNFIRE,POINT,D
203,,SFGPUCFM-------,1.X.3.1.1.7.4 ,MORTAR,POINT,D
204,,SFGPUCFMS------,1.X.3.1.1.7.4.1 ,SELF PROPELLED (SP) TRACKED MORTAR,POINT,D
205,,SFGPUCFMSW-----,1.X.3.1.1.7.4.2 ,SP WHEELED MORTAR,POINT,D
206,,SFGPUCFMT------,1.X.3.1.1.7.4.3 ,TOWED MORTAR,POINT,D
207,,SFGPUCFMTA-----,1.X.3.1.1.7.4.3.1 ,TOWED AIRBORNE MORTAR,POINT,D
208,,SFGPUCFMTS-----,1.X.3.1.1.7.4.3.2 ,TOWED AIR ASSAULT MORTAR,POINT,D
209,,SFGPUCFMTC-----,1.X.3.1.1.7.4.3.3 ,TOWED ARCTIC MORTAR,POINT,D
210,,SFGPUCFMTO-----,1.X.3.1.1.7.4.3.4 ,TOWED MOUNTAIN MORTAR,POINT,D
211,,SFGPUCFML------,1.X.3.1.1.7.4.4 ,AMPHIBIOUS MORTAR,POINT,D
212,,SFGPUCFS-------,1.X.3.1.1.7.5 ,ARTILLERY SURVEY,POINT,D
213,,SFGPUCFSS------,1.X.3.1.1.7.5.1 ,AIR ASSAULT,POINT,D
214,,SFGPUCFSA------,1.X.3.1.1.7.5.2 ,AIRBORNE,POINT,D
215,,SFGPUCFSL------,1.X.3.1.1.7.5.3 ,LIGHT,POINT,D
216,,SFGPUCFSO------,1.X.3.1.1.7.5.4 ,MOUNTAIN,POINT,D
217,,SFGPUCFO-------,1.X.3.1.1.7.6 ,METEOROLOGICAL,POINT,D
218,,SFGPUCFOS------,1.X.3.1.1.7.6.1 ,AIR ASSAULT METEOROLOGICAL,POINT,D
219,,SFGPUCFOA------,1.X.3.1.1.7.6.2 ,AIRBORNE METEOROLOGICAL,POINT,D
220,,SFGPUCFOL------,1.X.3.1.1.7.6.3 ,LIGHT METEOROLOGICAL,POINT,D
221,,SFGPUCFOO------,1.X.3.1.1.7.6.4 ,MOUNTAIN METEOROLOGICAL,POINT,D
222,,SFGPUCF--------,1.X.3.1.1.7.7 ,FIRE DIRECTION CENTRE,POINT,D
223,,SFGPUCF--------,1.X.3.1.1.7.8 ,OBERSERVER,POINT,D
224,,SFGPUCR--------,1.X.3.1.1.8 ,RECONNAISSANCE,POINT,D
225,,SFGPUCRH-------,1.X.3.1.1.8.1 ,RECONNAISSANCE HORSE,POINT,D
226,,SFGPUCRV-------,1.X.3.1.1.8.2 ,RECONNAISSANCE CAVALRY,POINT,D
227,,SFGPUCRVA------,1.X.3.1.1.8.2.1 ,RECONNAISSANCE CAVALRY ARMOURED,POINT,D
228,,SFGPUCRVM------,1.X.3.1.1.8.2.2 ,RECONNAISSANCE CAVALRY MOTORIZED,POINT,D
229,,SFGPUCRVG------,1.X.3.1.1.8.2.3 ,RECONNAISSANCE CAVALRY GROUND,POINT,D
230,,SFGPUCRVO------,1.X.3.1.1.8.2.4 ,RECONNAISSANCE CAVALRY AIR,POINT,D
231,,SFGPUCRC-------,1.X.3.1.1.8.3 ,RECONNAISSANCE ARCTIC,POINT,D
232,,SFGPUCRS-------,1.X.3.1.1.8.4 ,RECONNAISSANCE AIR ASSAULT,POINT,D
233,,SFGPUCRA-------,1.X.3.1.1.8.5 ,RECONNAISSANCE AIRBORNE,POINT,D
234,,SFGPUCRO-------,1.X.3.1.1.8.6 ,RECONNAISSANCE MOUNTAIN,POINT,D
235,,SFGPUCRLL------,1.X.3.1.1.8.7 ,RECONNAISSANCE LIGHT,POINT,D
236,,SFGPUCRR-------,1.X.3.1.1.8.8 ,RECONNAISSANCE MARINE,POINT,D
237,,SFGPUCRRD------,1.X.3.1.1.8.8.1 ,RECONNAISSANCE MARINE DIVISION,POINT,D
238,,SFGPUCRRF------,1.X.3.1.1.8.8.2 ,RECONNAISSANCE MARINE FORCE,POINT,D
239,,SFGPUCRRL------,1.X.3.1.1.8.8.3 ,RECONNAISSANCE MARINE LIGHT ARMOURED RECONNAISSANCE (LAR),POINT,D
240,,SFGPUCRX-------,1.X.3.1.1.8.9 ,RECONNAISSANCE LONG RANGE SURVEILLANCE (LRS),POINT,D
241,,SFGPUCM--------,1.X.3.1.1.9 ,MISSILE (SURFACE-SURFACE),POINT,D
242,,SFGPUCMT-------,1.X.3.1.1.9.1 ,MISSILE (SURFACE-SURFACE) TACTICAL,POINT,D
243,,SFGPUCMS-------,1.X.3.1.1.9.2 ,MISSILE (SURFACE-SURFACE) STRATEGIC,POINT,D
244,,SFGPUCS--------,1.X.3.1.1.10 ,INTERNAL SECURITY FORCES,POINT,D
245,,SFGPUCSW-------,1.X.3.1.1.10.1 ,RIVERINE,POINT,D
246,,SFGPUCSG-------,1.X.3.1.1.10.2 ,GROUND,POINT,D
247,,SFGPUCSGD------,1.X.3.1.1.10.2.1 ,DISMOUNTED GROUND,POINT,D
248,,SFGPUCSGM------,1.X.3.1.1.10.2.2 ,MOTORIZED GROUND,POINT,D
249,,SFGPUCSGA------,1.X.3.1.1.10.2.3 ,MECHANIZED GROUND,POINT,D
250,,SFGPUCSM-------,1.X.3.1.1.10.3 ,WHEELED MECHANIZED,POINT,D
251,,SFGPUCSR-------,1.X.3.1.1.10.4 ,RAILROAD,POINT,D
252,,SFGPUCSA-------,1.X.3.1.1.10.5 ,AVIATION,POINT,D
253,,SFGPUU---------,1.X.3.1.2 ,COMBAT SUPPORT,POINT,D
254,,SFGPUUA--------,1.X.3.1.2.1 ,COMBAT SUPPORT CBRN,POINT,D
255,,SFGPUUAC-------,1.X.3.1.2.1.1 ,CHEMICAL,POINT,D
256,,SFGPUUACC------,1.X.3.1.2.1.1.1 ,SMOKE/DECON,POINT,D
257,,SFGPUUACCK-----,1.X.3.1.2.1.1.1.1 ,MECHANIZED SMOKE/DECON,POINT,D
258,,SFGPUUACCM-----,1.X.3.1.2.1.1.1.2 ,MOTORIZED SMOKE/DECON,POINT,D
259,,SFGPUUACS------,1.X.3.1.2.1.1.2 ,SMOKE,POINT,D
260,,SFGPUUACSM-----,1.X.3.1.2.1.1.2.1 ,MOTORIZED SMOKE,POINT,D
261,,SFGPUUACSA-----,1.X.3.1.2.1.1.2.2 ,ARMOUR SMOKE,POINT,D
262,,SFGPUUACR------,1.X.3.1.2.1.1.3 ,CHEMICAL RECON,POINT,D
263,,SFGPUUACRW-----,1.X.3.1.2.1.1.3.1 ,CHEMICAL WHEELED ARMOURED VEHICLE,POINT,D
264,,SFGPUUACRS-----,1.X.3.1.2.1.1.3.2 ,CHEMICAL WHEELED ARMOURED VEHICLE RECONNAISSANCE SURVEILLANCE,POINT,D
265,,SFGPUUAN-------,1.X.3.1.2.1.2 ,NUCLEAR,POINT,D
266,,SFGPUUAB-------,1.X.3.1.2.1.3 ,BIOLOGICAL,POINT,D
267,,SFGPUUABR------,1.X.3.1.2.1.3.1 ,RECON EQUIPPED,POINT,D
268,,SFGPUUAD-------,1.X.3.1.2.1.4 ,DECONTAMINATION,POINT,D
269,,SFGPUUM--------,1.X.3.1.2.2 ,MILITARY INTELLIGENCE,POINT,D
270,,SFGPUUMA-------,1.X.3.1.2.2.1 ,AERIAL EXPLOITATION,POINT,D
